"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2019","16.79","17.22","17.27","16.79","2.17M","-2.33%"
"Aug 08, 2019","17.19","16.69","17.19","16.34","4.22M","4.06%"
"Aug 07, 2019","16.52","16.93","17.14","16.49","4.43M","-1.73%"
"Aug 06, 2019","16.81","16.75","17.13","16.73","3.88M","0.36%"
"Aug 05, 2019","16.75","17.19","17.22","16.67","3.45M","-2.56%"
"Aug 02, 2019","17.19","17.70","17.78","17.19","3.98M","-2.83%"
"Aug 01, 2019","17.69","17.30","17.85","17.28","6.44M","1.38%"
"Jul 31, 2019","17.45","18.33","18.37","17.19","12.50M","-4.64%"
"Jul 30, 2019","18.30","19.49","19.94","18.25","13.92M","-12.44%"
"Jul 29, 2019","20.90","21.10","21.10","20.50","907.28K","-0.48%"
"Jul 26, 2019","21.00","21.06","21.10","20.56","1.74M","0.57%"
"Jul 25, 2019","20.88","20.92","21.08","20.36","1.09M","0.29%"
"Jul 24, 2019","20.82","20.36","20.90","20.26","963.42K","2.46%"
"Jul 23, 2019","20.32","20.46","20.48","20.12","974.50K","0.99%"
"Jul 22, 2019","20.12","20.08","20.52","20.04","782.44K","0.00%"
"Jul 19, 2019","20.12","20.28","20.54","20.10","863.89K","0.00%"
"Jul 18, 2019","20.12","20.16","20.30","19.75","1.74M","-0.20%"
"Jul 17, 2019","20.16","20.18","20.56","20.12","1.39M","0.10%"
"Jul 16, 2019","20.14","19.77","20.26","19.58","1.48M","1.87%"
"Jul 12, 2019","19.77","20.14","20.32","19.59","1.85M","-1.35%"
"Jul 11, 2019","20.04","19.78","20.10","19.72","1.49M","2.30%"
"Jul 10, 2019","19.59","18.95","19.73","18.70","2.24M","4.20%"
"Jul 09, 2019","18.80","19.25","19.28","18.76","989.35K","-1.93%"
"Jul 08, 2019","19.17","19.20","19.51","19.11","868.39K","-1.34%"
"Jul 05, 2019","19.43","19.55","19.84","19.25","1.25M","-0.61%"
"Jul 04, 2019","19.55","19.67","19.74","19.34","1.06M","-0.51%"
"Jul 03, 2019","19.65","19.45","19.78","19.40","1.04M","0.98%"
"Jul 02, 2019","19.46","18.87","19.46","18.81","2.03M","3.35%"
"Jul 01, 2019","18.83","20.08","20.10","18.83","1.96M","-3.19%"
"Jun 28, 2019","19.45","19.36","19.50","19.22","1.20M","0.78%"
"Jun 27, 2019","19.30","19.16","19.56","19.16","1.39M","0.78%"
"Jun 26, 2019","19.15","19.56","19.65","18.87","1.33M","-1.59%"
"Jun 25, 2019","19.46","19.57","19.82","19.39","1.20M","-0.41%"
"Jun 24, 2019","19.54","19.60","19.95","19.42","1.41M","0.88%"
"Jun 21, 2019","19.37","19.40","19.40","18.93","2.05M","0.41%"
"Jun 20, 2019","19.29","18.79","19.35","18.79","2.09M","2.99%"
"Jun 19, 2019","18.73","18.31","18.83","18.07","2.14M","2.29%"
"Jun 18, 2019","18.31","17.72","18.49","17.63","2.13M","3.39%"
"Jun 17, 2019","17.71","17.47","17.78","17.26","1.74M","0.34%"
"Jun 14, 2019","17.65","17.51","17.70","17.19","1.31M","1.15%"
"Jun 13, 2019","17.45","18.00","18.29","17.34","1.52M","-3.16%"
"Jun 12, 2019","18.02","17.30","18.18","17.30","2.45M","4.40%"
"Jun 11, 2019","17.26","17.53","17.75","17.24","1.88M","-1.20%"
"Jun 10, 2019","17.47","17.65","17.84","17.37","1.62M","-2.29%"
"Jun 07, 2019","17.88","17.19","17.89","17.10","1.92M","4.50%"
"Jun 03, 2019","17.11","17.25","17.57","16.98","646.32K","-1.78%"
"May 31, 2019","17.42","17.18","17.44","16.96","1.45M","1.40%"
"May 30, 2019","17.18","17.08","17.35","16.96","1.97M","1.90%"
"May 29, 2019","16.86","16.36","16.89","16.36","2.21M","3.56%"
"May 28, 2019","16.28","16.18","16.68","16.18","1.90M","0.93%"
"May 27, 2019","16.13","16.15","16.59","16.13","1.68M","-0.68%"
"May 24, 2019","16.24","15.76","16.42","15.76","2.44M","3.11%"
"May 23, 2019","15.75","15.08","15.94","15.02","1.80M","4.30%"
"May 22, 2019","15.10","15.40","15.48","15.10","984.94K","-1.69%"
"May 21, 2019","15.36","15.75","16.09","15.34","2.29M","-2.48%"
"May 20, 2019","15.75","15.68","15.85","15.60","720.14K","0.96%"
"May 17, 2019","15.60","15.90","15.99","15.60","993.18K","-1.95%"
"May 16, 2019","15.91","16.15","16.24","15.73","1.70M","-0.75%"
"May 15, 2019","16.03","16.40","16.40","16.00","1.15M","-2.26%"
"May 14, 2019","16.40","16.14","16.48","16.06","1.35M","1.42%"
"May 13, 2019","16.17","16.73","16.78","15.98","1.44M","-3.23%"
"May 10, 2019","16.71","16.42","16.74","16.33","2.88M","2.26%"
"May 09, 2019","16.34","16.90","16.98","16.15","1.76M","-2.74%"
"May 08, 2019","16.80","16.79","16.92","16.41","1.52M","0.24%"
"May 07, 2019","16.76","17.10","17.27","16.60","2.82M","-4.06%"
"May 06, 2019","17.47","17.74","17.74","17.24","774.96K","-1.74%"
"May 03, 2019","17.78","18.40","18.40","16.94","2.48M","-1.39%"
"May 02, 2019","18.03","18.30","18.47","17.99","1.34M","-1.69%"
"Apr 30, 2019","18.34","17.75","18.45","17.75","3.64M","4.80%"
"Apr 29, 2019","17.50","17.51","17.53","17.12","1.18M","1.10%"
