"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2019","17.21","17.25","17.43","17.09","14.18M","-0.12%"
"Aug 08, 2019","17.23","17.65","17.73","17.13","15.85M","-1.20%"
"Aug 07, 2019","17.44","18.50","18.50","17.28","28.90M","-6.24%"
"Aug 06, 2019","18.60","18.67","18.92","18.42","12.90M","0.00%"
"Aug 05, 2019","18.60","18.91","19.20","18.42","14.58M","-1.64%"
"Aug 02, 2019","18.91","19.57","19.85","18.90","17.05M","-3.42%"
"Aug 01, 2019","19.58","18.81","19.73","18.76","22.68M","3.32%"
"Jul 31, 2019","18.95","19.40","19.48","18.94","13.28M","-1.86%"
"Jul 30, 2019","19.31","19.87","19.90","19.15","21.14M","-2.47%"
"Jul 29, 2019","19.80","18.98","19.82","18.90","28.55M","5.04%"
"Jul 26, 2019","18.85","18.25","18.97","18.21","27.46M","3.69%"
"Jul 25, 2019","18.18","18.56","18.66","18.09","10.45M","-1.73%"
"Jul 24, 2019","18.50","18.33","18.61","18.08","12.96M","1.04%"
"Jul 23, 2019","18.31","18.04","18.36","18.01","13.19M","1.55%"
"Jul 22, 2019","18.03","18.19","18.40","18.01","9.12M","-0.88%"
"Jul 19, 2019","18.19","18.68","18.78","18.11","15.33M","-0.44%"
"Jul 18, 2019","18.27","17.85","18.44","17.54","23.89M","1.61%"
"Jul 17, 2019","17.98","17.14","18.05","17.11","18.49M","5.52%"
"Jul 16, 2019","17.04","16.79","17.04","16.68","6.61M","2.16%"
"Jul 12, 2019","16.68","17.34","17.35","16.58","8.42M","-3.64%"
"Jul 11, 2019","17.31","17.26","17.41","17.13","8.59M","0.99%"
"Jul 10, 2019","17.14","17.09","17.25","16.76","10.08M","0.29%"
"Jul 09, 2019","17.09","17.93","17.95","16.94","9.58M","-4.58%"
"Jul 08, 2019","17.91","17.94","18.04","17.78","6.93M","-0.89%"
"Jul 05, 2019","18.07","18.24","18.37","18.06","9.73M","-0.99%"
"Jul 04, 2019","18.25","18.50","18.55","18.08","9.76M","-0.82%"
"Jul 03, 2019","18.40","18.93","18.93","18.35","8.37M","-2.34%"
"Jul 02, 2019","18.84","18.86","18.95","18.47","11.86M","-0.05%"
"Jul 01, 2019","18.85","19.12","19.31","18.81","19.30M","4.72%"
"Jun 28, 2019","18.00","18.05","18.09","17.87","6.49M","-0.06%"
"Jun 27, 2019","18.01","17.79","18.10","17.79","7.62M","1.52%"
"Jun 26, 2019","17.74","18.02","18.13","17.71","6.78M","-1.44%"
"Jun 25, 2019","18.00","18.04","18.21","17.95","9.71M","-0.39%"
"Jun 24, 2019","18.07","18.30","18.34","17.93","10.71M","0.67%"
"Jun 21, 2019","17.95","18.08","18.38","17.74","14.03M","-0.06%"
"Jun 20, 2019","17.96","18.05","18.41","17.90","14.29M","0.34%"
"Jun 19, 2019","17.90","18.24","18.38","17.77","13.49M","-2.35%"
"Jun 18, 2019","18.33","17.99","18.46","17.86","11.78M","1.72%"
"Jun 17, 2019","18.02","17.58","18.19","17.52","15.48M","2.44%"
"Jun 14, 2019","17.59","17.97","18.07","17.45","10.35M","-1.40%"
"Jun 13, 2019","17.84","18.29","18.33","17.80","7.07M","-3.88%"
"Jun 12, 2019","18.56","18.39","18.69","18.35","8.98M","0.92%"
"Jun 11, 2019","18.39","19.04","19.06","18.25","11.63M","-3.21%"
"Jun 10, 2019","19.00","18.60","19.05","18.39","11.79M","1.88%"
"Jun 07, 2019","18.65","18.14","18.70","18.13","8.96M","3.10%"
"Jun 03, 2019","18.09","18.22","18.32","18.03","2.66M","-0.77%"
"May 31, 2019","18.23","18.14","18.25","17.75","8.71M","1.39%"
"May 30, 2019","17.98","17.50","18.07","17.50","14.75M","3.81%"
"May 29, 2019","17.32","17.32","17.59","17.20","11.89M","0.00%"
"May 28, 2019","17.32","17.08","17.42","17.06","16.25M","2.12%"
"May 27, 2019","16.96","17.20","17.38","16.89","7.75M","-1.05%"
"May 24, 2019","17.14","16.77","17.29","16.74","15.00M","2.63%"
"May 23, 2019","16.70","16.46","16.86","16.41","16.96M","0.97%"
"May 22, 2019","16.54","17.52","17.55","16.52","17.30M","-5.86%"
"May 21, 2019","17.57","17.79","18.11","17.45","14.34M","-1.01%"
"May 20, 2019","17.75","18.82","19.09","17.68","22.55M","-5.69%"
"May 17, 2019","18.82","17.60","18.93","17.43","25.30M","6.63%"
"May 16, 2019","17.65","17.75","18.03","17.57","8.81M","-0.28%"
"May 15, 2019","17.70","18.14","18.17","17.50","9.06M","-2.37%"
"May 14, 2019","18.13","17.70","18.19","17.51","12.66M","2.72%"
"May 13, 2019","17.65","18.47","18.52","17.60","14.32M","-4.39%"
"May 10, 2019","18.46","18.95","19.05","18.36","10.95M","-1.55%"
"May 09, 2019","18.75","19.45","19.61","18.73","14.10M","-3.55%"
"May 08, 2019","19.44","20.18","20.18","19.39","14.00M","-3.86%"
"May 07, 2019","20.22","19.55","20.36","19.47","8.92M","1.20%"
"May 06, 2019","19.98","19.94","20.12","19.58","7.77M","-1.28%"
"May 03, 2019","20.24","20.06","20.42","19.94","6.67M","0.90%"
"May 02, 2019","20.06","20.82","20.92","20.00","9.52M","-1.57%"
"Apr 30, 2019","20.38","20.78","20.80","20.38","8.27M","-1.45%"
"Apr 29, 2019","20.68","21.24","21.28","20.58","8.77M","-2.64%"
"Apr 26, 2019","21.24","21.04","21.32","20.86","6.70M","1.63%"
"Apr 25, 2019","20.90","21.38","21.42","20.80","6.29M","-2.06%"
"Apr 24, 2019","21.34","20.94","21.38","20.92","7.71M","1.91%"
"Apr 22, 2019","20.94","21.04","21.16","20.94","2.16M","-0.95%"
"Apr 19, 2019","21.14","21.20","21.22","21.08","1.53M","0.09%"
"Apr 18, 2019","21.12","21.28","21.36","21.06","4.75M","-1.03%"
"Apr 17, 2019","21.34","21.34","21.48","21.24","7.10M","0.85%"
"Apr 16, 2019","21.16","21.06","21.32","20.94","8.10M","1.24%"
"Apr 15, 2019","20.90","20.84","21.22","20.80","5.23M","-0.19%"
"Apr 12, 2019","20.94","21.02","21.06","20.66","5.67M","-0.76%"
"Apr 11, 2019","21.10","21.14","21.40","20.90","9.24M","-0.19%"
