Date,Price Arçelik,Price ASELSAN,Price BIMAS,Price EREGLI,Price FENER,Price GARANTI,Price GS,Price GUBRE,Price HALKBANK,Price ISC,Price KOC,Price KOZAA,Price KOZAL,Price KARDEMIR,Price MAVI,Price MIGROS,Price PETKIM,Price PEGASUS,Price SAHOL,Price TAVHL,Price TCELL,Price THYAO,Price TTKOM,Price ULKER,Price VAKIF,Price VESTEL,Price YAPIKREDI,Price BIST 100
"Aug 09, 2019",16.79,17.21,48.2,6.73,7.44,9.77,1.49,3.88,5.66,5.76,18.05,8.37,62.8,2.05,38.06,18.3,3.53,54.8,9.05,24.74,12.3,12.12,5.64,18.25,4.75,10.09,2.67,99405.03
"Aug 08, 2019",17.19,17.23,47.94,6.75,7.41,9.69,1.47,3.77,5.68,5.89,18.19,7.82,59.15,2.05,38.96,18.2,3.54,47.72,9.24,24.56,12.38,12.03,5.63,18.6,4.69,9.78,2.68,99208.49
"Aug 07, 2019",16.52,17.44,46.72,6.73,7.41,9.81,1.49,3.66,5.59,5.9,17.82,7.52,59,2.05,39.4,17.11,3.64,48.7,9.18,24.5,12,11.97,5.41,18.8,4.63,9.78,2.65,98056.47
"Aug 06, 2019",16.81,18.6,45.96,7.07,7.47,9.76,1.48,3.57,5.78,5.97,18.3,7.6,57.9,2.12,39.3,16.69,3.74,48.66,9.35,25.06,12.38,12.37,5.42,18.96,4.74,9.87,2.63,99583.82
"Aug 05, 2019",16.75,18.6,45.86,7.08,7.45,9.59,1.48,3.62,5.67,5.98,18.02,7.44,57,2.1,39.58,16.65,3.75,49,9.18,24.86,12.09,12.5,5.23,18.54,4.65,9.59,2.58,98673.28
"Aug 02, 2019",17.19,18.91,46.86,7.22,7.52,9.6,1.48,3.65,5.73,6.03,18.17,7.1,56.1,2.12,39.9,17.01,3.81,48.46,9.6,25.1,12.25,12.31,5.21,18.62,4.71,9.53,2.66,99679.44
"Aug 01, 2019",17.69,19.58,47,7.36,7.54,9.7,1.47,3.63,5.87,6.22,18.68,7.25,56.5,2.17,40.54,16.8,3.89,48.56,9.77,25.64,12.87,12.43,5.27,18.5,4.94,9.44,2.65,101900.25
"Jul 31, 2019",17.45,18.95,46.86,7.43,7.54,9.85,1.47,3.5,6.02,6.24,18.72,7.14,56.9,2.18,41.5,16.99,3.92,47.52,9.87,25.1,13.06,12.46,5.39,18.55,5.09,9.43,2.73,102082.48
"Jul 30, 2019",18.3,19.31,46.92,7.52,7.58,9.75,1.46,3.32,6.14,6.32,18.67,7.16,57.75,2.21,41.76,16.94,4.01,47.44,9.8,24.66,13.53,12.73,5.6,18.5,5.14,9.38,2.66,102686.11
"Jul 29, 2019",20.9,19.8,46.3,7.67,7.68,9.85,1.47,3.26,6.31,6.42,19.09,7.12,57.2,2.24,41.98,16.81,4.06,46.22,9.8,24.42,13.57,12.77,5.76,18.28,5.17,9.6,2.75,103373.07
"Jul 26, 2019",21,18.85,46.74,7.7,7.49,9.84,1.45,3.21,6.28,6.42,19.07,6.86,56.5,2.24,42,16.4,4.03,46.94,9.64,24.76,13.27,12.76,5.73,18.3,5.08,9.71,2.8,102837.19
"Jul 25, 2019",20.88,18.18,46,7.66,7.45,9.67,1.45,3.17,6.23,6.34,19.1,6.92,56.5,2.24,42.12,15.59,4,47.34,9.59,25,13.21,12.68,5.53,18.8,4.98,9.73,2.76,102044.99
"Jul 24, 2019",20.82,18.5,47.4,7.73,7.5,9.9,1.46,3.01,6.34,6.44,19.3,6.78,56.7,2.3,41.66,15.39,4.06,48.46,9.55,25.92,13.56,12.96,5.49,19.03,4.89,9.7,2.8,103457.26
