"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2019","57.30","57.40","58.25","56.70","232.50K","0.09%"
"Aug 08, 2019","57.25","57.45","58.25","57.10","412.56K","0.44%"
"Aug 07, 2019","57.00","58.85","58.90","56.95","288.58K","-2.73%"
"Aug 06, 2019","58.60","58.40","59.40","58.00","528.20K","0.51%"
"Aug 05, 2019","58.30","58.50","59.60","58.10","206.18K","-0.34%"
"Aug 02, 2019","58.50","60.55","60.75","58.40","318.39K","-3.15%"
"Aug 01, 2019","60.40","60.60","60.90","59.60","335.28K","-1.15%"
"Jul 31, 2019","61.10","61.70","61.70","60.05","312.99K","-0.81%"
"Jul 30, 2019","61.60","61.80","62.50","60.35","277.47K","-0.16%"
"Jul 29, 2019","61.70","62.70","62.75","61.10","303.97K","-1.44%"
"Jul 26, 2019","62.60","63.35","63.65","62.20","335.97K","-1.26%"
"Jul 25, 2019","63.40","63.80","64.40","62.50","305.15K","-0.16%"
"Jul 24, 2019","63.50","62.50","64.70","62.35","442.88K","1.60%"
"Jul 23, 2019","62.50","62.15","62.75","61.40","192.04K","0.48%"
"Jul 22, 2019","62.20","62.50","62.95","60.95","416.10K","-0.64%"
"Jul 19, 2019","62.60","63.20","63.50","62.05","299.28K","-0.95%"
"Jul 18, 2019","63.20","62.35","63.35","61.05","320.18K","1.44%"
"Jul 17, 2019","62.30","60.70","62.90","60.70","231.75K","2.98%"
"Jul 16, 2019","60.50","59.70","61.70","59.50","206.50K","1.42%"
"Jul 12, 2019","59.65","61.05","61.95","59.60","298.08K","-2.45%"
