"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2019","1.49","1.48","1.49","1.46","5.33M","1.36%"
"Aug 08, 2019","1.47","1.50","1.50","1.47","4.89M","-1.34%"
"Aug 07, 2019","1.49","1.49","1.53","1.48","25.40M","0.68%"
"Aug 06, 2019","1.48","1.51","1.51","1.48","5.73M","0.00%"
"Aug 05, 2019","1.48","1.49","1.51","1.47","8.59M","0.00%"
"Aug 02, 2019","1.48","1.48","1.50","1.47","12.08M","0.68%"
"Aug 01, 2019","1.47","1.47","1.48","1.46","7.41M","0.00%"
"Jul 31, 2019","1.47","1.47","1.50","1.46","11.83M","0.68%"
"Jul 30, 2019","1.46","1.48","1.48","1.45","4.31M","-0.68%"
"Jul 29, 2019","1.47","1.45","1.47","1.45","4.31M","1.38%"
"Jul 26, 2019","1.45","1.45","1.46","1.44","3.41M","0.00%"
"Jul 25, 2019","1.45","1.46","1.46","1.44","4.58M","-0.68%"
"Jul 24, 2019","1.46","1.45","1.46","1.44","4.29M","0.69%"
"Jul 23, 2019","1.45","1.46","1.47","1.44","4.05M","-0.68%"
"Jul 22, 2019","1.46","1.47","1.47","1.45","3.23M","-0.68%"
"Jul 19, 2019","1.47","1.47","1.50","1.46","12.69M","0.68%"
"Jul 18, 2019","1.46","1.44","1.47","1.43","9.73M","2.10%"
"Jul 17, 2019","1.43","1.43","1.44","1.42","4.93M","0.00%"
"Jul 16, 2019","1.43","1.43","1.44","1.42","4.76M","1.42%"
"Jul 12, 2019","1.41","1.46","1.46","1.40","6.69M","-2.76%"
"Jul 11, 2019","1.45","1.44","1.48","1.44","8.12M","0.69%"
"Jul 10, 2019","1.44","1.43","1.45","1.41","8.86M","1.41%"
"Jul 09, 2019","1.42","1.47","1.47","1.41","9.73M","-2.74%"
"Jul 08, 2019","1.46","1.45","1.48","1.43","7.73M","-1.35%"
"Jul 05, 2019","1.48","1.47","1.51","1.46","11.30M","0.68%"
"Jul 04, 2019","1.47","1.50","1.51","1.46","7.00M","-1.34%"
"Jul 03, 2019","1.49","1.54","1.55","1.49","12.78M","-2.61%"
"Jul 02, 2019","1.53","1.49","1.53","1.48","17.10M","2.68%"
"Jul 01, 2019","1.49","1.49","1.60","1.47","54.50M","1.36%"
"Jun 28, 2019","1.47","1.42","1.49","1.41","20.88M","3.52%"
"Jun 27, 2019","1.42","1.42","1.44","1.40","10.21M","0.71%"
"Jun 26, 2019","1.41","1.45","1.46","1.40","11.38M","-2.76%"
"Jun 25, 2019","1.45","1.38","1.49","1.37","38.32M","5.07%"
"Jun 24, 2019","1.38","1.38","1.39","1.37","4.28M","0.73%"
"Jun 21, 2019","1.37","1.37","1.38","1.36","6.84M","0.74%"
"Jun 20, 2019","1.36","1.37","1.39","1.36","12.63M","0.00%"
"Jun 19, 2019","1.36","1.37","1.38","1.35","5.67M","-0.73%"
"Jun 18, 2019","1.37","1.36","1.38","1.36","5.71M","0.74%"
"Jun 17, 2019","1.36","1.33","1.39","1.33","7.98M","1.49%"
"Jun 14, 2019","1.34","1.36","1.36","1.33","7.40M","-1.47%"
"Jun 13, 2019","1.36","1.40","1.41","1.36","8.97M","-3.55%"
"Jun 12, 2019","1.41","1.40","1.42","1.40","5.27M","0.71%"
"Jun 11, 2019","1.40","1.43","1.44","1.40","9.12M","-1.41%"
"Jun 10, 2019","1.42","1.42","1.44","1.39","12.22M","0.71%"
"Jun 07, 2019","1.41","1.39","1.45","1.39","9.92M","1.44%"
"Jun 03, 2019","1.39","1.42","1.44","1.38","6.89M","-1.42%"
"May 31, 2019","1.41","1.55","1.55","1.41","24.98M","-6.00%"
"May 30, 2019","1.50","1.47","1.53","1.43","28.79M","4.17%"
"May 29, 2019","1.44","1.35","1.46","1.33","43.73M","8.27%"
"May 28, 2019","1.33","1.33","1.35","1.32","8.26M","0.00%"
