"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2019","3.530","3.550","3.580","3.510","69.41M","-0.28%"
"Aug 08, 2019","3.540","3.670","3.680","3.480","102.09M","-2.75%"
"Aug 07, 2019","3.640","3.760","3.770","3.610","53.66M","-2.67%"
"Aug 06, 2019","3.740","3.770","3.790","3.730","41.80M","-0.27%"
"Aug 05, 2019","3.750","3.800","3.810","3.740","48.99M","-1.57%"
"Aug 02, 2019","3.810","3.870","3.920","3.800","54.84M","-2.06%"
"Aug 01, 2019","3.890","3.880","3.920","3.860","38.69M","-0.77%"
"Jul 31, 2019","3.920","4.030","4.040","3.890","67.01M","-2.24%"
"Jul 30, 2019","4.010","4.080","4.090","4.010","45.40M","-1.23%"
"Jul 29, 2019","4.060","4.040","4.090","4.010","42.78M","0.74%"
"Jul 26, 2019","4.030","4.010","4.060","3.990","45.89M","0.75%"
"Jul 25, 2019","4.000","4.070","4.090","3.980","55.92M","-1.48%"
"Jul 24, 2019","4.060","4.100","4.120","4.020","58.93M","-0.73%"
"Jul 23, 2019","4.090","4.060","4.130","4.050","59.70M","0.99%"
"Jul 22, 2019","4.050","4.110","4.120","4.020","41.36M","-1.22%"
"Jul 19, 2019","4.100","4.100","4.150","4.060","84.90M","0.74%"
"Jul 18, 2019","4.070","4.040","4.090","4.010","60.12M","0.99%"
"Jul 17, 2019","4.030","3.910","4.040","3.900","76.69M","3.60%"
"Jul 16, 2019","3.890","3.890","3.930","3.870","35.63M","0.78%"
"Jul 12, 2019","3.860","3.870","3.970","3.810","110.44M","0.00%"
"Jul 11, 2019","3.860","3.890","3.930","3.840","47.05M","0.26%"
"Jul 10, 2019","3.850","3.790","3.870","3.700","48.12M","1.85%"
"Jul 09, 2019","3.780","3.950","3.960","3.780","57.36M","-4.06%"
"Jul 08, 2019","3.940","3.960","4.000","3.930","43.75M","-1.75%"
"Jul 05, 2019","4.010","4.070","4.110","4.010","62.27M","-1.23%"
"Jul 04, 2019","4.060","4.080","4.100","4.010","40.37M","0.00%"
"Jul 03, 2019","4.060","4.130","4.150","4.060","63.41M","-1.46%"
"Jul 02, 2019","4.120","4.160","4.170","4.100","62.31M","-1.20%"
"Jul 01, 2019","4.170","4.130","4.170","4.090","85.68M","2.71%"
"Jun 28, 2019","4.060","4.090","4.100","4.040","51.85M","-0.49%"
"Jun 27, 2019","4.080","4.010","4.090","3.990","105.50M","2.51%"
"Jun 26, 2019","3.980","3.930","4.020","3.920","81.93M","1.53%"
"Jun 25, 2019","3.920","3.930","3.980","3.900","37.59M","-0.25%"
"Jun 24, 2019","3.930","4.020","4.030","3.920","39.03M","-0.51%"
"Jun 21, 2019","3.950","3.930","3.960","3.880","51.11M","0.25%"
"Jun 20, 2019","3.940","3.990","4.030","3.920","101.82M","-0.25%"
"Jun 19, 2019","3.950","3.990","4.030","3.930","76.42M","-0.85%"
