"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2019","5.64","5.62","5.67","5.43","20.51M","0.18%"
"Aug 08, 2019","5.63","5.47","5.63","5.45","21.39M","4.07%"
"Aug 07, 2019","5.41","5.45","5.53","5.37","28.56M","-0.18%"
"Aug 06, 2019","5.42","5.25","5.42","5.25","24.05M","3.63%"
"Aug 05, 2019","5.23","5.21","5.34","5.19","15.78M","0.38%"
"Aug 02, 2019","5.21","5.26","5.37","5.21","16.85M","-1.14%"
"Aug 01, 2019","5.27","5.37","5.39","5.27","14.21M","-2.23%"
"Jul 31, 2019","5.39","5.62","5.63","5.39","51.54M","-3.75%"
"Jul 30, 2019","5.60","5.78","5.79","5.58","22.41M","-2.78%"
"Jul 29, 2019","5.76","5.73","5.85","5.59","28.86M","0.52%"
"Jul 26, 2019","5.73","5.56","5.78","5.49","29.14M","3.62%"
"Jul 25, 2019","5.53","5.51","5.59","5.41","25.27M","0.73%"
"Jul 24, 2019","5.49","5.57","5.59","5.44","13.73M","-1.26%"
"Jul 23, 2019","5.56","5.48","5.71","5.47","20.97M","1.65%"
"Jul 22, 2019","5.47","5.60","5.67","5.45","18.18M","-2.50%"
"Jul 19, 2019","5.61","5.62","5.74","5.54","24.82M","0.90%"
"Jul 18, 2019","5.56","5.39","5.63","5.35","34.39M","3.15%"
"Jul 17, 2019","5.39","5.34","5.41","5.27","15.91M","1.32%"
"Jul 16, 2019","5.32","5.30","5.38","5.22","19.19M","0.38%"
"Jul 12, 2019","5.30","5.43","5.47","5.24","21.23M","-2.03%"
