"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2019","4.750","4.700","4.770","4.600","36.10M","1.28%"
"Aug 08, 2019","4.690","4.690","4.730","4.580","39.75M","1.30%"
"Aug 07, 2019","4.630","4.780","4.800","4.630","41.56M","-2.32%"
"Aug 06, 2019","4.740","4.670","4.790","4.670","53.79M","1.94%"
"Aug 05, 2019","4.650","4.680","4.730","4.590","61.43M","-1.27%"
"Aug 02, 2019","4.710","4.890","4.930","4.710","57.21M","-4.66%"
"Aug 01, 2019","4.940","5.010","5.110","4.900","54.45M","-2.95%"
"Jul 31, 2019","5.090","5.160","5.190","5.000","41.75M","-0.97%"
"Jul 30, 2019","5.140","5.170","5.260","5.060","52.73M","-0.58%"
"Jul 29, 2019","5.170","5.090","5.200","5.070","35.76M","1.77%"
"Jul 26, 2019","5.080","5.020","5.110","4.970","53.49M","2.01%"
"Jul 25, 2019","4.980","4.900","5.110","4.830","123.92M","1.84%"
"Jul 24, 2019","4.890","4.850","4.910","4.760","35.19M","0.82%"
"Jul 23, 2019","4.850","4.750","4.910","4.750","48.93M","1.89%"
"Jul 22, 2019","4.760","4.810","4.850","4.730","24.92M","-1.04%"
"Jul 19, 2019","4.810","4.970","5.020","4.800","68.28M","-2.04%"
"Jul 18, 2019","4.910","4.760","4.920","4.740","69.74M","3.15%"
"Jul 17, 2019","4.760","4.690","4.770","4.610","58.79M","2.15%"
"Jul 16, 2019","4.660","4.780","4.850","4.640","52.55M","-1.06%"
"Jul 12, 2019","4.710","4.860","4.880","4.600","66.84M","-3.29%"
"Jul 11, 2019","4.870","4.860","4.920","4.790","73.93M","1.67%"
"Jul 10, 2019","4.790","4.520","4.810","4.430","97.78M","5.97%"
"Jul 09, 2019","4.520","4.740","4.760","4.520","83.70M","-4.64%"
"Jul 08, 2019","4.740","4.750","4.880","4.710","79.20M","-2.87%"
"Jul 05, 2019","4.880","4.760","4.920","4.750","63.43M","1.88%"
"Jul 04, 2019","4.790","4.650","4.790","4.650","53.33M","3.46%"
"Jul 03, 2019","4.630","4.630","4.660","4.520","47.59M","0.65%"
"Jul 02, 2019","4.600","4.570","4.650","4.510","57.31M","0.22%"
"Jul 01, 2019","4.590","4.400","4.650","4.380","85.50M","9.55%"
"Jun 28, 2019","4.190","4.130","4.200","4.080","42.92M","2.20%"
"Jun 27, 2019","4.100","4.130","4.150","4.050","46.80M","0.24%"
"Jun 26, 2019","4.090","4.140","4.190","4.050","54.39M","-0.97%"
